Title,URL,Status,Last Activity,First Opened,Favicon,Window ID,Tab ID
"Tab Logger - Simplify History - Chrome Web Store","https://chromewebstore.google.com/detail/tab-logger-simplify-histo/iopaidaibhkgeimaojeelbbagkdhemok?utm_source=ext_app_menu","Closed","10/26/2025, 10:10:40","10/26/2025, 10:08:48","https://ssl.gstatic.com/chrome/webstore/images/icon_48px.png","",""
"ChatGPT","https://chatgpt.com/","Closed","10/26/2025, 11:20:21","10/26/2025, 11:19:58","https://cdn.oaistatic.com/assets/favicon-l4nq08hd.svg","",""
"(22) YouTube","https://www.youtube.com/","Closed","10/26/2025, 11:21:05","10/26/2025, 11:20:38","https://www.youtube.com/s/desktop/ab67e92c/img/favicon_32x32.png","",""
"(22) Grandmaster Lobby Live Rank Push Free Fire Telugu - Munna Bhai is Live - Telugu Gaming Live #MBG - YouTube","https://www.youtube.com/watch?v=w_PdwhiVS-Y","Closed","10/26/2025, 11:21:34","10/26/2025, 11:21:08","https://www.youtube.com/s/desktop/ab67e92c/img/favicon_32x32.png","",""
"New Tab","chrome://newtab/","Closed","10/26/2025, 11:23:15","10/26/2025, 10:08:48","","",""
"facebook - Yahoo India Search Results","https://in.search.yahoo.com/search?fr=mcafee&type=G210IN885G91958Mc10b3da41207bf73bd6fe9295163c2bc&p=facebook","Open","10/26/2025, 11:25:21","10/26/2025, 11:24:56","https://in.search.yahoo.com/favicon.ico","",""
"perplxity - Yahoo India Search Results","https://in.search.yahoo.com/search?fr=mcafee&type=G210IN885G91958Mc10b3da41207bf73bd6fe9295163c2bc&p=perplxity","Open","10/26/2025, 11:25:21","10/26/2025, 11:22:37","https://in.search.yahoo.com/favicon.ico","",""
"(27) Teja Swaroop | LinkedIn","https://www.linkedin.com/in/teja-swaroop-510170316/","Open","10/26/2025, 11:25:21","10/26/2025, 11:23:22","https://static.licdn.com/aero-v1/sc/h/3loy7tajf3n0cho89wgg0fjre","",""
